"Date","Price","Open","High","Low","Change %"
"07/07/2024","10.300","10.300","10.300","10.300","0.00%"
"06/30/2024","10.300","10.050","10.300","9.900","2.49%"
"06/23/2024","10.050","10.000","10.250","10.000","8.06%"
"06/16/2024","9.300","9.100","9.300","9.000","2.20%"
"06/09/2024","9.100","8.800","9.200","8.750","3.41%"
"06/02/2024","8.800","8.750","8.900","8.650","0.57%"
"05/26/2024","8.750","8.650","8.750","8.650","1.16%"
"05/19/2024","8.650","9.300","9.300","8.650","-6.99%"
"05/12/2024","9.300","9.400","9.500","8.900","-1.06%"
"05/05/2024","9.400","9.800","9.800","9.400","-4.08%"
"04/28/2024","9.800","9.900","9.950","9.600","-1.01%"
"04/21/2024","9.900","10.100","10.200","9.900","-1.98%"
"04/14/2024","10.100","10.250","10.250","10.100","-0.49%"
"04/07/2024","10.150","10.250","10.250","10.150","0.00%"
"03/31/2024","10.150","10.250","10.250","10.000","0.50%"
"03/24/2024","10.100","10.250","10.400","10.100","-1.46%"
"03/17/2024","10.250","10.150","10.300","10.000","0.99%"
"03/10/2024","10.150","10.100","10.250","10.100","0.50%"
"03/03/2024","10.100","10.000","10.100","9.900","1.00%"
"02/25/2024","10.000","9.900","10.000","9.900","1.01%"
"02/18/2024","9.900","10.000","10.000","9.750","-1.00%"
"02/11/2024","10.000","10.500","10.500","9.750","-4.76%"
"02/04/2024","10.500","11.400","11.400","10.500","-7.89%"
"01/28/2024","11.400","12.700","12.750","11.400","-10.24%"
"01/21/2024","12.700","13.500","13.500","12.050","-5.93%"
"01/14/2024","13.500","13.800","14.000","13.500","-2.17%"
"01/07/2024","13.800","14.500","14.500","13.800","-4.83%"
"12/31/2023","14.500","14.550","14.550","14.400","-0.34%"
"12/24/2023","14.550","14.250","14.550","14.250","2.11%"
"12/17/2023","14.250","14.600","14.750","14.000","-2.40%"
"12/10/2023","14.600","14.250","14.750","14.250","2.46%"
"12/03/2023","14.250","14.900","14.900","14.250","-4.36%"
"11/26/2023","14.900","15.250","15.250","14.800","-2.30%"
"11/19/2023","15.250","15.500","15.500","15.200","-1.61%"
"11/12/2023","15.500","15.750","15.750","15.000","-1.59%"
"11/05/2023","15.750","15.500","15.900","15.100","1.61%"
"10/29/2023","15.500","16.100","16.250","15.500","-3.73%"
"10/22/2023","16.100","16.000","16.200","15.500","0.63%"
"10/15/2023","16.000","16.500","16.500","15.750","-5.88%"
"10/08/2023","17.000","16.500","17.000","16.500","3.03%"
"10/01/2023","16.500","18.000","18.000","16.500","-3.51%"
"09/24/2023","17.100","18.750","18.750","17.100","-8.80%"
"09/17/2023","18.750","18.000","18.750","18.000","4.17%"
"09/10/2023","18.000","18.250","19.000","17.750","-1.37%"
"09/03/2023","18.250","18.500","19.000","18.000","-1.35%"
"08/27/2023","18.500","18.000","19.000","17.250","2.78%"
"08/20/2023","18.000","17.750","18.500","16.500","1.41%"
"08/13/2023","17.750","18.500","18.500","16.750","-4.05%"
"08/06/2023","18.500","19.850","19.900","17.500","-6.80%"
"07/30/2023","19.850","20.000","20.000","19.750","-0.75%"
"07/23/2023","20.000","21.000","21.000","20.000","-4.76%"
"07/16/2023","21.000","20.000","21.000","20.000","2.44%"
"07/09/2023","20.500","20.000","20.500","18.000","2.50%"
"07/02/2023","20.000","24.000","24.000","20.000","-16.67%"
"06/25/2023","24.000","22.750","24.000","22.750","5.49%"
"06/18/2023","22.750","23.000","23.250","22.500","-1.09%"
"06/11/2023","23.000","23.250","23.500","22.750","-1.08%"
"06/04/2023","23.250","22.500","23.250","21.000","3.33%"
"05/28/2023","22.500","26.000","26.000","22.500","-13.46%"
"05/21/2023","26.000","26.000","26.250","25.150","0.00%"
"05/14/2023","26.000","25.800","26.000","24.500","0.78%"
"05/07/2023","25.800","25.850","25.900","25.750","-0.08%"
"04/30/2023","25.820","26.000","26.000","25.820","-0.69%"
"04/23/2023","26.000","26.000","26.000","25.500","0.00%"
"04/09/2023","26.000","24.500","26.000","24.500","4.00%"
"04/02/2023","25.000","25.000","25.000","25.000","0.00%"
"03/26/2023","25.000","26.000","26.500","25.000","-3.85%"
"03/19/2023","26.000","26.500","27.000","26.000","-8.77%"
"03/12/2023","28.500","28.500","28.500","28.500","0.00%"
"03/05/2023","28.500","29.500","29.500","28.000","-5.00%"
"02/26/2023","30.000","30.250","30.250","29.750","-0.83%"
"02/19/2023","30.250","30.000","30.250","30.000","0.83%"
"02/12/2023","30.000","30.000","30.000","30.000","0.00%"
"02/05/2023","30.000","30.000","30.000","30.000","0.00%"
"01/29/2023","30.000","30.000","30.500","30.000","0.00%"
"01/22/2023","30.000","30.250","30.250","30.000","-6.25%"
"01/08/2023","32.000","30.500","32.000","30.500","2.40%"
"01/01/2023","31.250","31.250","31.250","31.250","-2.34%"
"12/25/2022","32.000","32.000","32.000","32.000","0.00%"
"12/18/2022","32.000","31.500","32.750","31.500","1.59%"
"12/11/2022","31.500","32.750","32.750","30.500","-3.82%"
"12/04/2022","32.750","32.500","32.750","31.500","-0.76%"
"11/27/2022","33.000","33.250","33.250","33.000","1.54%"
"11/20/2022","32.500","32.500","32.500","32.500","0.00%"
"11/13/2022","32.500","33.250","33.750","32.500","-2.26%"
"11/06/2022","33.250","33.000","33.500","33.000","0.76%"
"10/30/2022","33.000","32.500","33.000","32.000","1.54%"
"10/23/2022","32.500","32.500","32.500","32.500","0.00%"
"10/16/2022","32.500","34.000","34.000","32.500","11.11%"
"10/02/2022","29.250","29.250","29.250","29.250","0.00%"
"09/25/2022","29.250","29.250","29.250","29.250","0.00%"
"09/18/2022","29.250","30.500","30.500","29.250","-4.10%"
"09/11/2022","30.500","32.000","33.000","30.500","-4.69%"
"09/04/2022","32.000","32.000","32.000","32.000","0.00%"
"08/28/2022","32.000","29.250","32.000","29.250","9.40%"
"08/21/2022","29.250","27.500","30.500","27.500","6.36%"
"08/14/2022","27.500","29.000","29.000","27.500","-5.17%"
"08/07/2022","29.000","27.000","29.000","27.000","-3.33%"
"07/31/2022","30.000","30.000","30.000","30.000","0.00%"
"07/17/2022","30.000","32.000","32.000","30.000","-9.37%"
"07/10/2022","33.100","28.500","33.100","28.500","16.14%"
"07/03/2022","28.500","22.570","30.000","22.570","26.27%"
"06/26/2022","22.570","21.250","22.570","21.250","6.21%"
"06/19/2022","21.250","20.500","21.500","20.500","3.66%"
"06/12/2022","20.500","20.500","20.500","20.500","0.00%"
"06/05/2022","20.500","22.750","22.750","20.500","-9.89%"
"05/29/2022","22.750","23.000","23.000","22.750","-9.00%"
"05/22/2022","25.000","23.000","25.000","21.750","8.70%"
"05/15/2022","23.000","23.000","23.000","23.000","0.00%"
"05/08/2022","23.000","23.000","23.000","23.000","0.00%"
"05/01/2022","23.000","21.000","23.000","21.000","9.52%"
"04/24/2022","21.000","21.000","21.000","21.000","-3.45%"
"04/17/2022","21.750","21.000","23.000","19.700","-1.58%"
"04/10/2022","22.100","15.250","22.100","15.250","44.92%"
"04/03/2022","15.250","12.800","15.500","12.800","19.14%"
"03/27/2022","12.800","12.250","12.800","12.100","4.49%"
"03/20/2022","12.250","11.100","12.250","11.100","10.36%"
"03/13/2022","11.100","10.750","11.100","10.750","3.26%"
"03/06/2022","10.750","9.950","10.750","9.500","8.04%"
"02/27/2022","9.950","8.600","10.000","8.600","13.71%"
"02/20/2022","8.750","8.500","8.750","8.500","2.94%"
"02/13/2022","8.500","8.450","8.700","8.450","0.59%"
"02/06/2022","8.450","8.600","8.700","8.450","-0.59%"
"01/30/2022","8.500","8.500","8.700","8.500","0.59%"
"01/23/2022","8.450","8.500","8.700","8.450","-0.59%"
"01/16/2022","8.500","8.300","8.600","8.300","2.41%"
"01/09/2022","8.300","8.200","8.300","8.100","1.22%"
"01/02/2022","8.200","8.400","8.500","8.150","-2.38%"
"12/26/2021","8.400","7.500","8.400","7.500","12.00%"
"12/19/2021","7.500","7.400","7.500","7.300","1.35%"
"12/12/2021","7.400","7.200","7.400","7.100","2.78%"
"12/05/2021","7.200","7.250","7.250","7.100","-0.69%"
"11/28/2021","7.250","7.400","7.500","7.200","-2.03%"
"11/21/2021","7.400","7.700","7.700","7.200","-3.90%"
"11/14/2021","7.700","7.950","8.000","7.500","-3.14%"
"11/07/2021","7.950","8.050","8.200","7.800","-1.24%"
"10/31/2021","8.050","8.000","8.100","8.000","0.63%"
"10/24/2021","8.000","8.050","8.700","8.000","-1.84%"
"10/17/2021","8.150","8.050","8.150","8.050","1.24%"
"10/10/2021","8.050","7.400","8.500","7.200","8.78%"
"10/03/2021","7.400","7.000","7.400","6.700","5.71%"
"09/26/2021","7.000","6.500","7.000","6.200","7.69%"
"09/19/2021","6.500","6.200","6.500","6.100","4.84%"
"09/12/2021","6.200","6.100","6.200","6.000","1.64%"
"09/05/2021","6.100","5.950","6.100","5.900","2.52%"
"08/29/2021","5.950","5.900","6.000","5.900","0.85%"
"08/22/2021","5.900","5.700","5.900","5.700","3.51%"
"08/15/2021","5.700","5.300","5.700","5.260","7.95%"
"08/08/2021","5.280","5.250","5.300","5.200","0.76%"
"08/01/2021","5.240","5.250","5.300","5.220","-1.13%"
"07/25/2021","5.300","5.250","5.300","5.200","1.92%"
"07/18/2021","5.200","5.250","5.300","5.180","-0.95%"
"07/11/2021","5.250","5.200","5.250","5.180","0.96%"
"07/04/2021","5.200","5.170","5.250","5.150","0.58%"
"06/27/2021","5.170","5.200","5.250","5.150","0.39%"
"06/20/2021","5.150","5.200","5.200","5.150","-0.96%"
"06/13/2021","5.200","5.150","5.200","5.150","0.97%"
"06/06/2021","5.150","5.200","5.220","5.140","-0.96%"
"05/30/2021","5.200","5.150","5.200","5.130","1.36%"
"05/23/2021","5.130","5.150","5.150","5.100","-0.39%"
"05/16/2021","5.150","5.100","5.150","5.100","0.00%"
"05/09/2021","5.150","5.130","5.150","5.100","0.00%"
"05/02/2021","5.150","5.100","5.150","5.100","0.00%"
"04/18/2021","5.150","5.120","5.200","5.100","0.59%"
"04/11/2021","5.120","5.150","5.150","5.050","-0.58%"
"04/04/2021","5.150","5.050","5.150","5.000","3.00%"
"03/28/2021","5.000","5.000","5.100","4.950","0.00%"
"03/21/2021","5.000","5.050","5.100","4.950","-0.99%"
"03/14/2021","5.050","5.000","5.050","4.950","1.00%"
"03/07/2021","5.000","4.950","5.050","4.950","0.00%"
"02/28/2021","5.000","4.950","5.000","4.900","1.01%"
"02/21/2021","4.950","4.850","5.000","4.750","2.06%"
"02/14/2021","4.850","4.800","4.900","4.750","1.04%"
"02/07/2021","4.800","4.750","4.900","4.650","1.05%"
"01/31/2021","4.750","4.750","4.750","4.750","0.00%"
"01/24/2021","4.750","4.750","4.750","4.750","0.00%"
"01/17/2021","4.750","4.750","4.750","4.750","0.00%"
"01/10/2021","4.750","4.750","4.750","4.750","0.00%"
"01/03/2021","4.750","4.750","4.750","4.750","1.06%"
"12/27/2020","4.700","4.750","4.750","4.700","-1.05%"
"12/20/2020","4.750","4.700","4.750","4.700","0.00%"
"12/13/2020","4.750","4.700","4.750","4.650","1.06%"
"12/06/2020","4.700","4.750","4.750","4.650","0.00%"
"11/29/2020","4.700","4.700","4.750","4.650","0.00%"
"11/22/2020","4.700","4.650","4.800","4.650","0.00%"
"11/15/2020","4.700","4.650","4.700","4.650","2.17%"
"11/08/2020","4.600","4.650","4.650","4.600","0.00%"
"11/01/2020","4.600","4.650","4.650","4.600","0.00%"
"10/25/2020","4.600","4.650","4.650","4.600","0.00%"
"10/18/2020","4.600","4.650","4.650","4.600","-1.08%"
"10/11/2020","4.650","4.600","4.650","4.600","-0.43%"
"10/04/2020","4.670","4.600","4.750","4.600","0.43%"
"09/27/2020","4.650","4.600","4.650","4.550","2.20%"
"09/20/2020","4.550","4.600","4.600","4.500","0.00%"
"09/13/2020","4.550","4.600","4.650","4.520","-1.09%"
"09/06/2020","4.600","4.650","4.650","4.520","-1.08%"
"08/30/2020","4.650","4.600","4.650","4.550","1.09%"
"08/23/2020","4.600","4.650","4.650","4.570","-1.08%"
"08/16/2020","4.650","4.750","4.750","4.600","-2.11%"
"08/09/2020","4.750","4.600","4.800","4.600","3.26%"
"08/02/2020","4.600","4.500","4.800","4.500","2.22%"
"07/26/2020","4.500","4.700","4.700","4.500","-4.26%"
"07/19/2020","4.700","4.600","4.700","4.600","2.17%"
"07/12/2020","4.600","5.000","5.000","4.600","-8.00%"
"07/05/2020","5.000","5.100","5.200","4.700","-0.99%"
"06/28/2020","5.050","5.100","5.200","5.050","-0.98%"
"06/21/2020","5.100","6.050","6.050","5.000","-15.70%"
"06/14/2020","6.050","6.700","6.700","6.050","-9.70%"
