"Date","Price","Open","High","Low","Change %"
"08/01/2024","13.131","12.299","13.423","12.299","6.76%"
"07/01/2024","12.299","11.981","12.387","11.970","2.65%"
"06/01/2024","11.981","11.247","11.990","11.247","6.53%"
"05/01/2024","11.247","12.193","12.193","10.934","-7.77%"
"04/01/2024","12.193","12.498","12.625","12.193","-2.43%"
"03/01/2024","12.498","12.577","12.651","12.307","-0.63%"
"02/01/2024","12.577","14.057","14.057","12.227","-10.53%"
"01/01/2024","14.057","14.352","14.731","13.618","-2.06%"
"12/01/2023","14.352","14.648","14.873","14.320","-2.02%"
"11/01/2023","14.648","14.914","15.784","14.648","-1.78%"
"10/01/2023","14.914","14.586","15.649","14.499","2.25%"
"09/01/2023","14.586","14.619","16.511","14.031","-0.23%"
"08/01/2023","14.620","14.911","15.460","13.054","-1.95%"
"07/01/2023","14.911","23.459","23.475","14.609","-36.44%"
"06/01/2023","23.459","26.664","26.664","23.062","-12.03%"
"05/01/2023","26.666","29.983","30.168","26.546","-6.30%"
"04/01/2023","28.460","30.152","30.152","26.987","-5.61%"
"03/01/2023","30.152","31.187","31.187","28.760","-3.32%"
"02/01/2023","31.187","30.455","31.544","30.271","2.41%"
"01/01/2023","30.455","29.349","30.455","28.900","3.76%"
"12/01/2022","29.350","29.485","29.851","28.992","-0.46%"
"11/01/2022","29.485","29.331","29.995","28.979","0.52%"
"10/01/2022","29.331","26.698","29.332","26.698","9.86%"
"09/01/2022","26.699","26.397","26.699","26.274","1.14%"
"08/01/2022","26.399","24.415","26.399","24.415","8.12%"
"07/01/2022","24.415","22.530","26.851","22.331","8.37%"
"06/01/2022","22.530","22.016","22.530","20.875","2.33%"
"05/01/2022","22.017","19.288","24.287","19.288","14.15%"
"04/01/2022","19.288","15.075","29.667","15.075","27.94%"
"03/01/2022","15.075","12.305","15.775","12.305","22.52%"
"02/01/2022","12.305","12.094","12.384","11.670","1.75%"
"01/01/2022","12.094","11.523","12.200","10.758","4.96%"
"12/01/2021","11.523","10.887","11.707","10.151","5.84%"
"11/01/2021","10.887","10.911","11.203","10.516","-0.22%"
"10/01/2021","10.911","9.623","11.569","9.335","13.39%"
"09/01/2021","9.623","8.681","9.858","8.576","10.85%"
"08/01/2021","8.681","7.582","9.019","7.530","14.50%"
"07/01/2021","7.582","7.479","7.634","7.375","1.36%"
"06/01/2021","7.479","7.429","7.481","7.376","0.68%"
"05/01/2021","7.429","7.586","7.586","7.326","-1.40%"
"04/01/2021","7.535","7.225","7.587","7.172","4.28%"
"03/01/2021","7.225","7.174","7.302","7.148","0.70%"
"02/01/2021","7.174","6.865","7.382","6.709","4.51%"
"01/01/2021","6.865","6.839","6.865","6.658","0.39%"
"12/01/2020","6.839","6.714","6.916","6.610","1.85%"
"11/01/2020","6.714","6.457","6.766","6.457","3.98%"
"10/01/2020","6.457","6.870","6.870","6.405","-6.00%"
"09/01/2020","6.870","6.506","6.921","6.352","5.58%"
"08/01/2020","6.506","6.609","6.866","6.403","-1.54%"
"07/01/2020","6.609","6.762","6.762","6.350","-2.27%"
"06/01/2020","6.762","8.707","8.916","6.659","-22.34%"
"05/01/2020","8.707","8.839","9.047","8.665","-1.49%"
"04/01/2020","8.839","9.672","9.778","8.786","-8.62%"
"03/01/2020","9.672","9.971","10.248","9.516","-0.79%"
"02/01/2020","9.750","9.750","9.750","9.750","5.06%"
"01/01/2020","9.280","9.280","9.280","9.280","-4.33%"
"12/01/2019","9.700","9.700","9.700","9.700","-3.00%"
"11/01/2019","10.000","10.000","10.000","10.000","0.00%"
"10/01/2019","10.000","10.000","10.000","10.000","-2.25%"
"09/01/2019","10.230","10.230","10.230","10.230","2.30%"
"08/01/2019","10.000","10.000","10.000","10.000","2.04%"
"07/01/2019","9.800","9.800","9.800","9.800","-1.01%"
"06/01/2019","9.900","9.900","9.900","9.900","-1.00%"
"05/01/2019","10.000","10.000","10.000","10.000","-8.26%"
"04/01/2019","10.900","10.900","10.900","10.900","-1.36%"
"03/01/2019","11.050","11.050","11.050","11.050","0.00%"
"02/01/2019","11.050","11.050","11.050","11.050","-0.90%"
"01/01/2019","11.150","11.150","11.150","11.150","-5.11%"
