"Date","Price","Open","High","Low","Change %"
"08/01/2024","10.000","9.500","10.000","9.450","5.26%"
"07/01/2024","9.500","10.250","10.500","9.350","-7.32%"
"06/01/2024","10.250","9.000","10.400","9.000","13.89%"
"05/01/2024","9.000","9.750","9.900","8.950","-7.69%"
"04/01/2024","9.750","10.250","10.400","9.750","-4.41%"
"03/01/2024","10.200","10.100","10.450","10.000","0.99%"
"02/01/2024","10.100","11.800","11.800","9.750","-19.20%"
"01/01/2024","12.500","14.200","14.200","12.300","-11.97%"
"12/01/2023","14.200","14.500","14.500","14.000","-3.73%"
"11/01/2023","14.750","15.000","15.250","14.250","-1.01%"
"10/01/2023","14.900","16.250","16.250","14.500","-9.70%"
"09/01/2023","16.500","16.000","17.000","15.000","3.13%"
"08/01/2023","16.000","18.000","18.000","14.000","-11.11%"
"07/01/2023","18.000","19.500","19.500","17.000","-7.69%"
"06/01/2023","19.500","25.200","25.200","19.250","-22.62%"
"05/01/2023","25.200","25.500","26.000","24.500","-1.18%"
"04/01/2023","25.500","25.000","25.750","24.500","2.00%"
"03/01/2023","25.000","29.000","29.000","25.000","-13.19%"
"02/01/2023","28.800","29.500","29.500","28.750","-2.37%"
"01/01/2023","29.500","31.250","32.250","29.000","-6.35%"
"12/01/2022","31.500","32.750","32.750","31.250","-4.55%"
"11/01/2022","33.000","31.500","33.250","31.500","2.33%"
"10/01/2022","32.250","30.000","33.000","30.000","7.50%"
"09/01/2022","30.000","29.500","31.000","29.500","1.69%"
"08/01/2022","29.500","29.500","29.500","27.600","0.00%"
"07/01/2022","29.500","22.000","32.000","22.000","34.09%"
"06/01/2022","22.000","24.000","24.000","21.000","-8.33%"
"05/01/2022","24.000","24.000","25.000","23.500","0.00%"
"04/01/2022","24.000","12.200","24.000","12.200","92.00%"
"03/01/2022","12.500","8.650","12.500","8.650","44.51%"
"02/01/2022","8.650","8.750","8.850","8.650","-1.14%"
"01/01/2022","8.750","8.500","8.800","8.250","2.94%"
"12/01/2021","8.500","7.900","8.500","7.700","7.59%"
"11/01/2021","7.900","8.500","8.500","7.900","-7.06%"
"10/01/2021","8.500","7.050","8.750","6.900","20.57%"
"09/01/2021","7.050","6.000","7.150","5.950","17.50%"
"08/01/2021","6.000","5.300","6.000","5.240","13.21%"
"07/01/2021","5.300","5.250","5.350","5.180","0.95%"
"06/01/2021","5.250","5.200","5.250","5.150","1.94%"
"05/01/2021","5.150","5.150","5.200","5.150","-0.96%"
"04/01/2021","5.200","5.150","5.200","5.100","1.96%"
"03/01/2021","5.100","5.050","5.150","5.000","0.99%"
"02/01/2021","5.050","4.850","5.050","4.800","4.12%"
"01/01/2021","4.850","4.850","4.850","4.850","0.00%"
"12/01/2020","4.850","4.750","4.850","4.750","1.04%"
"11/01/2020","4.800","4.750","4.900","4.700","0.00%"
"10/01/2020","4.800","4.750","4.800","4.700","2.13%"
"09/01/2020","4.700","4.750","4.800","4.650","-1.05%"
"08/01/2020","4.750","4.650","4.900","4.650","2.15%"
"07/01/2020","4.650","5.200","5.300","4.650","-10.58%"
"06/01/2020","5.200","6.850","6.900","5.200","-23.75%"
"05/01/2020","6.820","6.900","7.000","6.800","-1.16%"
"04/01/2020","6.900","7.500","7.500","6.800","-8.00%"
"03/01/2020","7.500","8.150","8.200","7.300","-7.98%"
"02/01/2020","8.150","7.900","8.200","7.800","3.16%"
"01/01/2020","7.900","7.950","8.300","7.800","-0.63%"
"12/01/2019","7.950","7.800","8.150","7.650","1.92%"
"11/01/2019","7.800","7.700","8.000","7.600","1.30%"
"10/01/2019","7.700","7.800","7.850","7.650","-1.28%"
"09/01/2019","7.800","8.000","8.100","7.700","0.65%"
"08/01/2019","7.750","7.950","8.100","7.700","-2.52%"
"07/01/2019","7.950","8.500","8.600","7.850","-6.47%"
"06/01/2019","8.500","8.700","8.750","8.500","-2.30%"
"05/01/2019","8.700","9.300","9.300","8.600","-6.45%"
"04/01/2019","9.300","9.750","9.750","9.100","-4.62%"
"03/01/2019","9.750","9.850","9.950","9.600","-1.02%"
"02/01/2019","9.850","9.750","10.000","9.700","1.03%"
"01/01/2019","9.750","9.950","10.500","9.700","-2.01%"
"12/01/2018","9.950","10.500","10.600","9.950","-5.24%"
"11/01/2018","10.500","10.000","10.700","9.500","5.00%"
"10/01/2018","10.000","9.250","10.200","8.800","8.11%"
"09/01/2018","9.250","8.650","9.250","8.500","6.32%"
"08/01/2018","8.700","8.800","8.850","8.550","-1.14%"
"07/01/2018","8.800","8.600","9.800","8.600","2.33%"
"06/01/2018","8.600","8.933","9.050","8.600","-3.73%"
"05/01/2018","8.933","8.713","8.950","8.713","3.48%"
"04/01/2018","8.633","8.850","8.850","8.613","-0.96%"
"03/01/2018","8.717","8.588","8.717","8.550","1.50%"
"02/01/2018","8.588","7.988","8.588","7.963","7.75%"
"01/01/2018","7.970","8.220","8.220","7.970","-4.44%"
"12/01/2017","8.340","8.340","8.340","8.340","-6.03%"
"11/01/2017","8.875","8.875","8.875","8.875","-2.92%"
"10/01/2017","9.142","9.142","9.142","9.142","1.13%"
"09/01/2017","9.040","9.040","9.040","9.040","-1.74%"
"08/01/2017","9.200","9.200","9.200","9.200","-4.09%"
"07/01/2017","9.592","9.592","9.592","9.592","-6.94%"
"06/01/2017","10.307","10.307","10.307","10.307","-0.96%"
"05/01/2017","10.407","10.407","10.407","10.407","-2.36%"
"04/01/2017","10.658","10.658","10.658","10.658","-0.39%"
"03/01/2017","10.700","10.700","10.700","10.700","3.63%"
"02/01/2017","10.325","10.325","10.325","10.325","2.19%"
"01/01/2017","10.104","10.104","10.104","10.104","3.84%"
"12/01/2016","9.730","9.730","9.730","9.730","-0.97%"
"11/01/2016","9.825","9.825","9.825","9.825","1.37%"
"10/01/2016","9.692","9.692","9.692","9.692","2.89%"
"09/01/2016","9.420","9.420","9.420","9.420","-5.67%"
"08/01/2016","9.986","9.986","9.986","9.986","2.21%"
"07/01/2016","9.770","9.770","9.770","9.770","-1.61%"
"06/01/2016","9.930","9.930","9.930","9.930","2.37%"
